Experiment,Source CSV,OpenML ID,Dataset,Problem,Best Pipeline,Validation Metric,Best Test-set Score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Workers,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Total Tokens,Putative Cost ($),Actual Time (h),Equivalent Time (h),LLM Inference Time (h),ML Training Time (h),Parallel Speedup,Worker Utilization,Budget Utilization,InstanceFeature Product,Cost per Pipeline ($),Total Tokens (M),Input Tokens (M),Output Tokens (M)
gemini-2.5-flash,/Users/mattia/Desktop/Research/automl-llm/experiments/results/gemini-2.5-flash/results.csv,40983,wilt,classification,Pipeline 17,balanced_accuracy,0.9662411823983876,0.975,5,4839,5,0,0:03:46,0:28:28,0:19:27,0:09:01,8,30,30,413432,119853,533285,0.6562708199999999,0.06277777777777778,0.47444444444444445,0.32416666666666666,0.1502777777777778,7.557522123893805,0.9446902654867256,1.0,24195,0.021875693999999998,0.533285,0.413432,0.119853
gemini-2.5-flash,/Users/mattia/Desktop/Research/automl-llm/experiments/results/gemini-2.5-flash/results.csv,40499,texture,classification,Pipeline 0,balanced_accuracy,0.9954545454545456,0.997,40,5500,40,0,0:04:32,0:31:34,0:22:31,0:09:03,8,30,30,1645606,135529,1781135,1.0748276100000007,0.07555555555555556,0.5261111111111111,0.37527777777777777,0.15083333333333335,6.963235294117647,0.8704044117647058,1.0,220000,0.03582758700000002,1.781135,1.645606,0.135529
gemini-2.5-flash,/Users/mattia/Desktop/Research/automl-llm/experiments/results/gemini-2.5-flash/results.csv,1485,madelon,classification,Pipeline 8,balanced_accuracy,0.8634615384615385,0.875,500,2600,500,0,0:10:54,1:05:29,0:42:32,0:22:57,8,30,18,7368780,80067,7448847,1.8553039999999996,0.18166666666666667,1.091388888888889,0.7088888888888889,0.3825,6.007645259938839,0.7509556574923548,0.6,1300000,0.10307244444444442,7.448847,7.36878,0.080067
gemini-2.5-flash,/Users/mattia/Desktop/Research/automl-llm/experiments/results/gemini-2.5-flash/results.csv,1478,har,classification,Pipeline 15,balanced_accuracy,0.9811429806487671,0.959,561,10299,561,0,0:29:52,3:08:40,1:48:47,1:19:53,8,30,12,8305395,66378,8371773,2.8644566999999994,0.49777777777777776,3.1444444444444444,1.8130555555555556,1.331388888888889,6.316964285714286,0.7896205357142857,0.4,5777739,0.23870472499999995,8.371773,8.305395,0.066378
gemini-2.5-flash,/Users/mattia/Desktop/Research/automl-llm/experiments/results/gemini-2.5-flash/results.csv,1590,adult,classification,Pipeline 3,balanced_accuracy,0.8129252481829121,0.805,14,48842,6,8,0:44:08,5:33:47,3:29:51,2:03:56,8,30,30,3533767,864794,4398561,3.9331918900000025,0.7355555555555555,5.563055555555556,3.4975,2.0655555555555556,7.5630664652567985,0.9453833081570998,1.0,683788,0.1311063963333334,4.398561,3.533767,0.864794
gemini-2.5-flash,/Users/mattia/Desktop/Research/automl-llm/experiments/results/gemini-2.5-flash/results.csv,554,mnist_784,classification,Pipeline 5,balanced_accuracy,0.9664450768343156,0.1,784,70000,784,0,2:00:12,2:13:12,0:47:45,1:25:27,8,30,11,5932213,47113,5979326,1.6099417399999996,2.0033333333333334,2.22,0.7958333333333333,1.4241666666666666,1.1081530782029951,0.1385191347753744,0.36666666666666664,54880000,0.14635833999999995,5.979326,5.932213,0.047113
gemini-2.5-flash,/Users/mattia/Desktop/Research/automl-llm/experiments/results/gemini-2.5-flash/results.csv,43939,california_housing,regression,Pipeline 19,rmse,69331.03182193861,1.0,9,20640,9,0,0:11:29,1:22:08,1:04:06,0:18:02,8,30,30,1620167,492151,2112318,2.2583271299999987,0.1913888888888889,1.3688888888888888,1.0683333333333334,0.3005555555555556,7.152394775036284,0.8940493468795355,1.0,185760,0.07527757099999996,2.112318,1.620167,0.492151
gemini-2.5-flash,/Users/mattia/Desktop/Research/automl-llm/experiments/results/gemini-2.5-flash/results.csv,42165,ames_housing,regression,Pipeline 19,rmse,31970.629598659227,1.0,80,1460,37,43,0:12:22,1:11:13,1:07:47,0:03:26,8,30,30,4504694,640509,5145203,3.43088453,0.2061111111111111,1.1869444444444444,1.1297222222222223,0.05722222222222222,5.758760107816712,0.719845013477089,1.0,116800,0.11436281766666667,5.145203,4.504694,0.640509
gemini-2.5-flash,/Users/mattia/Desktop/Research/automl-llm/experiments/results/gemini-2.5-flash/results.csv,196,auto_mpg,regression,Pipeline 28,rmse,2.2832434607562577,1.0,7,398,7,0,0:05:58,0:33:04,0:30:29,0:02:36,8,30,30,1662359,244199,1906558,1.693538910000001,0.09944444444444445,0.5511111111111111,0.5080555555555556,0.043333333333333335,5.541899441340782,0.6927374301675977,1.0,2786,0.05645129700000003,1.906558,1.662359,0.244199
gemini-3.1-flash-lite-preview,/Users/mattia/Desktop/Research/automl-llm/experiments/results/gemini-3.1-flash-lite-preview/results.csv,40983,wilt,classification,Pipeline 17,balanced_accuracy,0.9827426939872356,0.975,5,4839,5,0,0:03:24,0:24:34,0:14:40,0:09:54,8,30,30,615707,33780,649487,0.6137902499999996,0.056666666666666664,0.40944444444444444,0.24444444444444444,0.165,7.2254901960784315,0.9031862745098039,1.0,24195,0.02045967499999999,0.649487,0.615707,0.03378
gemini-3.1-flash-lite-preview,/Users/mattia/Desktop/Research/automl-llm/experiments/results/gemini-3.1-flash-lite-preview/results.csv,40499,texture,classification,Pipeline 0,balanced_accuracy,0.9918181818181818,0.997,40,5500,40,0,0:03:13,0:28:06,0:16:58,0:11:08,8,30,30,2017288,35480,2052768,1.2081315000000004,0.05361111111111111,0.4683333333333333,0.2827777777777778,0.18555555555555556,8.735751295336788,1.0919689119170986,1.0,220000,0.04027105000000001,2.052768,2.017288,0.03548
gemini-3.1-flash-lite-preview,/Users/mattia/Desktop/Research/automl-llm/experiments/results/gemini-3.1-flash-lite-preview/results.csv,1485,madelon,classification,Pipeline 27,balanced_accuracy,0.8634615384615385,0.875,500,2600,500,0,0:18:50,2:13:02,1:09:09,1:03:52,8,30,30,14266818,32835,14299653,2.207072475,0.3138888888888889,2.2172222222222224,1.1525,1.0644444444444445,7.063716814159293,0.8829646017699117,1.0,1300000,0.0735690825,14.299653,14.266818,0.032835
gemini-3.1-flash-lite-preview,/Users/mattia/Desktop/Research/automl-llm/experiments/results/gemini-3.1-flash-lite-preview/results.csv,1478,har,classification,Pipeline 4,balanced_accuracy,0.987209758824327,0.959,561,10299,561,0,0:44:12,4:49:08,2:15:14,2:33:54,8,30,30,22220902,33979,22254881,4.179522900000003,0.7366666666666667,4.818888888888889,2.253888888888889,2.565,6.541478129713424,0.817684766214178,1.0,5777739,0.1393174300000001,22.254881,22.220902,0.033979
gemini-3.1-flash-lite-preview,/Users/mattia/Desktop/Research/automl-llm/experiments/results/gemini-3.1-flash-lite-preview/results.csv,1590,adult,classification,Pipeline 16,balanced_accuracy,0.822278909508971,0.805,14,48842,6,8,0:32:53,3:10:26,1:21:45,1:48:41,8,30,30,2674441,81671,2756112,1.8756788249999987,0.5480555555555555,3.173888888888889,1.3625,1.811388888888889,5.791180942726813,0.7238976178408516,1.0,683788,0.06252262749999996,2.756112,2.674441,0.081671
gemini-3.1-flash-lite-preview,/Users/mattia/Desktop/Research/automl-llm/experiments/results/gemini-3.1-flash-lite-preview/results.csv,554,mnist_784,classification,Pipeline 21,balanced_accuracy,0.9710350096634814,0.1,784,70000,784,0,2:00:28,7:03:17,2:54:24,4:08:52,8,30,25,17785846,27616,17813462,5.614693049999999,2.0077777777777777,7.054722222222222,2.9066666666666667,4.147777777777778,3.5136967349197565,0.43921209186496957,0.8333333333333334,54880000,0.22458772199999996,17.813462,17.785846,0.027616
gemini-3.1-flash-lite-preview,/Users/mattia/Desktop/Research/automl-llm/experiments/results/gemini-3.1-flash-lite-preview/results.csv,43939,california_housing,regression,Pipeline 25,rmse,67675.64076464035,1.0,9,20640,9,0,0:04:28,0:37:17,0:20:53,0:16:24,8,30,30,955318,41872,997190,0.8676821999999996,0.07444444444444444,0.6213888888888889,0.34805555555555556,0.2733333333333333,8.347014925373134,1.0433768656716418,1.0,185760,0.02892273999999999,0.99719,0.955318,0.041872
gemini-3.1-flash-lite-preview,/Users/mattia/Desktop/Research/automl-llm/experiments/results/gemini-3.1-flash-lite-preview/results.csv,42165,ames_housing,regression,Pipeline 11,rmse,30189.15218747868,1.0,80,1460,37,43,0:03:49,0:29:23,0:20:22,0:09:01,8,30,29,4071760,65523,4137283,2.017184025000001,0.0636111111111111,0.4897222222222222,0.33944444444444444,0.1502777777777778,7.6986899563318785,0.9623362445414848,0.9666666666666667,116800,0.06955806982758625,4.137283,4.07176,0.065523
gemini-3.1-flash-lite-preview,/Users/mattia/Desktop/Research/automl-llm/experiments/results/gemini-3.1-flash-lite-preview/results.csv,196,auto_mpg,regression,Pipeline 11,rmse,2.1484063927615105,1.0,7,398,7,0,0:02:48,0:20:10,0:14:42,0:05:28,8,30,30,1490934,44644,1535578,1.2527088750000002,0.04666666666666667,0.33611111111111114,0.245,0.09111111111111111,7.2023809523809526,0.9002976190476191,1.0,2786,0.04175696250000001,1.535578,1.490934,0.044644
